专业 	录取最低分 	录取最高分 	录取平均分
通信工程 	595 	605 	599
信息工程 	586 	594 	589
电子信息工程 	587 	595 	591
信息对抗技术 	579 	584 	582
智能科学与技术 	587 	600 	593
电磁场与无线技术 	582 	585 	584
计算机科学与技术 	580 	588 	585
物联网工程 	595 	599 	597
机械设计制造及其自动化 	586 	591 	589
自动化 	578 	580 	579
电气工程及其自动化 	594 	598 	596
测控技术与仪器 	578 	580 	579
电子科学与技术 	586 	599 	592
光电信息科学与工程 	578 	580 	579
电子信息科学与技术 	579 	586 	583
管理科学与工程类 	575 	578 	577
统计学 	575 	577 	576
软件工程 	578 	596 	583
微电子科学与工程 	585 	603 	592
集成电路设计与集成系统 	581 	585 	583
材料科学与工程 	579 	588 	583
应用化学 	575 	575 	575
信息安全 	583 	598 	592
