专业 	录取最低分 	录取最高分 	录取平均分
通信工程 	616 	625 	619
信息工程 	610 	614 	612
电子信息工程 	610 	621 	614
智能科学与技术 	610 	620 	613
计算机科学与技术 	606 	610 	608
机械设计制造及其自动化 	608 	618 	611
自动化 	607 	611 	608
电气工程及其自动化 	613 	615 	614
测控技术与仪器 	605 	609 	606
光电信息科学与工程 	606 	608 	607
电子信息科学与技术 	608 	611 	609
管理科学与工程类 	605 	605 	605
软件工程 	606 	625 	613
微电子科学与工程 	605 	609 	607
集成电路设计与集成系统 	604 	612 	608
材料科学与工程 	605 	609 	607
应用化学 	604 	607 	605
信息安全 	608 	615 	612
